car,n_snippets,label,min_mileage,max_mileage,mileage_span
2,5556,00,1662.144,187433.4528,185771.3088
3,3729,00,100294.76160000001,213731.6544,113436.89279999999
4,5222,00,214.7904,193132.1568,192917.3664
5,2784,00,58428.48,158983.12320000003,100554.64320000002
6,3366,00,73296.7488,159770.4768,86473.728
7,1782,00,88630.5024,192568.56960000002,103938.06720000002
11,4453,10,104135.4336,233019.4944,128884.06079999999
14,6290,00,6969.6,159933.84,152964.24
16,7086,00,3919.8720000000003,178666.32960000003,174746.45760000002
17,1693,00,0.0,178304.4384,178304.4384
18,3827,00,59664.0,160927.4304,101263.43040000001
20,1709,00,87415.78560000002,169805.1168,82389.33119999997
21,3050,00,84586.9728,177414.7584,92827.78559999999
23,5992,00,99628.7424,223264.0608,123635.3184
24,3129,00,84088.4352,181571.0688,97482.6336
25,6543,00,54405.12,165368.544,110963.424
27,1063,00,89197.5744,183283.4784,94085.904
29,3907,00,71940.0,157248.8544,85308.85440000001
30,2226,00,77039.6352,176974.61760000003,99934.98240000002
31,2693,00,23802.24,159569.3088,135767.0688
32,1916,10,74717.5968,122139.8112,47422.2144
33,4124,00,100760.0352,213740.31360000002,112980.27840000002
34,4790,00,2418.2400000000002,161461.344,159043.10400000002
35,4842,00,73810.9152,163521.3888,89710.47359999998
36,6444,00,102983.232,222939.12960000001,119955.89760000001
38,639,00,81652.032,166514.09279999998,84862.06079999998
41,3926,00,99734.55360000001,200525.10720000003,100790.55360000001
43,4629,00,74170.8,164377.2768,90206.47679999999
44,1540,00,75527.1264,155151.95520000003,79624.82880000003
46,542,00,71544.10560000001,152610.48,81066.3744
48,1705,00,75027.5328,159747.984,84720.4512
49,4508,00,772.464,106310.0544,105537.59039999999
50,7221,00,6895.68,210937.056,204041.37600000002
51,9101,00,11468.16,267515.5296,256047.3696
52,1816,00,23400.960000000003,155433.168,132032.208
53,3641,00,58608.0,159688.9536,101080.95360000001
56,5884,00,335.808,163757.2992,163421.49120000002
57,5380,00,88961.45280000001,211489.66079999998,122528.20799999997
60,1498,00,81618.0288,139035.17760000002,57417.148800000024
62,3756,00,85753.2192,177886.5792,92133.36
63,3794,00,80766.68160000001,152719.0368,71952.35519999999
65,2921,00,96231.69600000001,204289.6416,108057.94559999999
66,454,00,64437.12,152909.328,88472.20800000001
67,5319,00,95951.856,205420.4064,109468.55040000001
68,4451,00,85204.52160000001,181410.1344,96205.6128
69,7616,00,542.256,189459.07200000001,188916.81600000002
75,3372,00,82496.7264,158247.7248,75750.9984
77,3791,00,108943.50720000001,242275.65120000002,133332.14400000003
78,2926,00,78537.99360000002,163518.22079999998,84980.22719999996
80,943,00,77609.5584,175391.9904,97782.43200000002
81,2637,00,77765.7408,170611.79520000002,92846.05440000002
82,773,00,12714.24,79903.6128,67189.3728
83,1962,00,72889.5552,117327.1968,44437.6416
87,3678,00,89941.94880000001,199984.752,110042.8032
91,7405,00,7254.72,179704.90560000003,172450.18560000003
94,4116,00,94350.6432,180813.70560000002,86463.06240000001
97,3053,00,1549.152,199782.6336,198233.4816
98,2734,00,86090.8224,185247.84960000002,99157.02720000001
105,703,00,81292.992,172858.85760000002,91565.86560000002
107,1640,00,87275.8656,154669.8912,67394.02560000001
108,5053,00,13829.376,189291.0624,175461.6864
111,2471,00,88911.7152,175834.8768,86923.16159999999
112,915,00,88363.0176,166674.7104,78311.6928
114,2813,00,65155.200000000004,172326.1056,107170.9056
115,3696,00,88436.40960000001,218945.76,130509.3504
117,3110,00,71839.99680000001,173223.4944,101383.49759999999
118,3137,00,75925.7664,167988.3744,92062.60800000001
119,4733,00,115575.29280000001,236497.64160000003,120922.34880000002
120,470,00,26.5056,154021.50720000002,153995.00160000002
121,811,00,180763.8624,206066.1504,25302.288
128,3716,00,96462.3264,194497.88160000002,98035.55520000002
129,4612,00,68059.2,170217.0624,102157.8624
131,6926,00,130.5216,147185.3856,147054.864
134,390,00,50550.72,149866.7808,99316.0608
136,2176,00,79179.40800000001,169191.15840000001,90011.7504
139,5205,00,100734.48000000001,212712.8256,111978.3456
140,7585,00,45.196799999999996,164935.584,164890.3872
141,4609,00,4.9632000000000005,170763.01440000001,170758.05120000002
147,1051,00,83455.68000000001,156456.432,73000.752
150,4744,00,71271.7632,178566.11520000003,107294.35200000003
151,447,00,92625.56160000002,139676.9088,47051.34719999999
152,5865,00,77982.1152,160368.2784,82386.16320000001
153,4192,00,81517.92,175756.5216,94238.60160000001
155,5399,00,94784.6592,211458.29760000002,116673.63840000003
156,1780,00,98635.04639999999,150891.2064,52256.16
157,4711,00,94842.528,212420.1024,117577.5744
158,3659,00,76565.38560000001,160597.21920000002,84031.83360000001
159,1967,00,74146.1952,168656.5056,94510.3104
162,2804,00,77508.4992,175384.38720000003,97875.88800000002
165,3821,00,86519.136,183723.30240000002,97204.16640000002
166,844,00,96560.2176,190660.90560000003,94100.68800000002
167,4945,00,96293.3664,197463.024,101169.6576
168,525,00,56432.64,113786.95680000001,57354.316800000015
170,3641,00,84766.0704,181355.7504,96589.68
175,4817,00,102817.22880000001,203454.97920000003,100637.75040000002
176,5305,00,2517.504,160795.008,158277.50400000002
183,1847,00,115748.0544,162351.6576,46603.60320000001
184,1004,10,27899.52,41923.200000000004,14023.680000000004
185,1307,10,48576.0,75264.92160000002,26688.921600000016
187,4348,00,73190.304,158666.112,85475.80799999999
