car,n_snippets,label,min_mileage,max_mileage,mileage_span,fold
2,5556,0,1662.144,187433.4528,185771.3088,4
3,3729,0,100294.7616,213731.6544,113436.8928,4
4,5222,0,214.7904,193132.1568,192917.3664,3
5,2784,0,58428.48,158983.12320000003,100554.64320000002,1
7,1782,0,88630.5024,192568.5696,103938.06720000002,2
18,3827,0,59664.0,160927.4304,101263.4304,1
21,3050,0,84586.9728,177414.7584,92827.7856,0
23,5992,0,99628.7424,223264.0608,123635.3184,3
41,3926,0,99734.5536,200525.10720000003,100790.5536,2
43,4629,0,74170.8,164377.2768,90206.4768,0
49,4508,0,772.464,106310.0544,105537.5904,4
50,7221,0,6895.68,210937.056,204041.376,1
53,3641,0,58608.0,159688.9536,101080.9536,2
57,5380,0,88961.45280000001,211489.6608,122528.20799999996,4
60,1498,0,81618.0288,139035.17760000002,57417.148800000024,2
63,3794,0,80766.68160000001,152719.0368,71952.35519999999,0
68,4451,0,85204.52160000001,181410.1344,96205.6128,3
69,7616,0,542.256,189459.072,188916.816,0
87,3678,0,89941.94880000001,199984.752,110042.8032,3
105,703,0,81292.992,172858.85760000002,91565.86560000002,0
111,2471,0,88911.7152,175834.8768,86923.16159999999,0
118,3137,0,75925.7664,167988.3744,92062.608,1
131,6926,0,130.5216,147185.3856,147054.864,2
134,390,0,50550.72,149866.7808,99316.0608,1
136,2176,0,79179.40800000001,169191.1584,90011.7504,4
150,4744,0,71271.7632,178566.11520000003,107294.35200000004,1
156,1780,0,98635.0464,150891.2064,52256.16,3
166,844,0,96560.2176,190660.90560000003,94100.68800000002,4
175,4817,0,102817.2288,203454.97920000003,100637.75040000002,2
184,1004,10,27899.52,41923.2,14023.680000000004,3
