band,fold,n,rmse,mae,mape,r2
"(0, 50]",0,2417,0.7674543615353046,0.6512197391729742,1.5001222322470689,-1.117337958959725
"(50, 100]",0,6242,1.0276606443306453,0.8153711873978984,1.9818264754390653,0.23059667419354413
"(100, 150]",0,9730,0.8694555586911914,0.7076362219669163,1.7588038492614058,0.27339922530388383
"(150, 200]",0,3874,1.465432592947803,1.2265692934716277,3.194111496254727,0.085464028209292
"(0, 50]",1,1158,0.5451699443233623,0.47030140341763893,1.0747468503400202,-1.21364625255858
"(50, 100]",1,6205,1.1175473778368035,0.8935863532699931,2.1757930618830446,0.14832218635108763
"(100, 150]",1,9555,1.0402245663205523,0.8379769480698278,2.108241587079327,0.2282103661014785
"(150, 200]",1,4792,1.1702519814335293,0.9394898377120972,2.4468725794384074,-0.3129692654253584
"(200, 300]",1,393,1.4430070552559897,1.265273938845498,3.2169194851965455,-2.9410408752655464
"(0, 50]",2,2418,0.8509226818996825,0.7668496267645132,1.746019289797434,-0.2884695867096163
"(50, 100]",2,4817,0.9673256187506886,0.7935364154559689,1.9038005047963595,0.34769054174257963
"(100, 150]",2,9679,1.391514798485062,1.0135167676335761,2.42973953888063,-0.220600283820104
"(150, 200]",2,5434,1.7932203480276914,1.2064651805355335,3.1456892552175217,-0.1323861029137967
"(200, 300]",2,242,1.3878524250407447,0.8165394966917362,2.0984377004779335,-0.053021634015054
"(0, 50]",3,2313,0.822948390661624,0.5368176955398943,1.2739146392330578,-0.6364557392704513
"(50, 100]",3,3246,0.5821692698581231,0.4359619172010828,1.0533212708853643,0.4682384827085849
"(100, 150]",3,9659,0.5873518976760138,0.40949231767705274,1.0293542051483462,0.4535043539960196
"(150, 200]",3,5616,1.2020892866195374,0.8464368686614505,2.27836004864146,0.09442822446258514
"(200, 300]",3,1293,0.6796844329874727,0.4192858218927953,1.1447248502020917,0.00888541893712358
"(0, 50]",4,3554,0.8987494526823838,0.61381556698895,1.446896606790113,-0.8529613978711303
"(50, 100]",4,4206,1.3025598783405934,0.8630642029818827,2.1566679186434685,-0.04710973092082171
"(100, 150]",4,7424,0.9497296330684186,0.7516824393122615,1.8905591474270536,0.23455225997239193
"(150, 200]",4,6002,1.4158509545165354,1.088246748666779,2.9131453354796326,-0.13554372126529435
"(200, 300]",4,1007,1.2023493309835585,0.9633281626049949,2.475720544672076,-0.7018309253084722
