model,fold,rmse,mae,mape,r2,slope_per_1k_km
Mean baseline,0,1.7781561686694107,1.3783424563589877,3.3765737639304363,-0.03867626502521415,
Linear (mileage),0,1.0315614093656589,0.8220174704202462,2.043008834606122,0.6504328773292449,-0.03160220219065794
Mean baseline,1,1.710507622295133,1.3955152958853263,3.4646935212588192,-0.004832713870212224,
Linear (mileage),1,1.080686973178061,0.8639311426633393,2.166188477789083,0.5989083960656774,-0.03187303984139403
Mean baseline,2,1.9882107204948523,1.5095140677914844,3.6685876802104924,-0.1006680039988963,
Linear (mileage),2,1.3787042067773199,0.9845095375795869,2.4130778223783773,0.4707343350046558,-0.032421631999471366
Mean baseline,3,1.8972606379843262,1.4962554219673865,3.8188798974428404,-0.09836874830009035,
Linear (mileage),3,0.8153889999374578,0.5381571849582515,1.3821836190106918,0.7971271777785405,-0.031103653233684577
Mean baseline,4,2.0093864385842264,1.6488962687127127,4.152143952140971,-0.018176118963810994,
Linear (mileage),4,1.1663516818181943,0.8513390455330958,2.173048970796128,0.6569519044240508,-0.032534070333048025
