fold,band,n,rmse,mae,mape,r2,corr,std_ratio
0,"(0, 50]",2417,2.9180846082776446,2.795119047164917,6.3972554206848145,-29.61124038696289,0.12697381447825146,1.3685966730117798
0,"(50, 100]",6242,1.5622141004305736,1.2946690320968628,3.0993189811706543,-0.7780164480209351,0.40702489876664477,0.8293277025222778
0,"(100, 150]",9730,1.117729962303499,0.8692347407341003,2.1760051250457764,-0.2008112668991089,0.4915279303497675,1.0659044981002808
0,"(150, 200]",3874,2.0272015648523447,1.6001641750335693,4.2231903076171875,-0.7501007318496704,0.23716500129090595,0.6640944480895996
1,"(0, 50]",1158,2.7410842110614055,2.6006579399108887,5.938271522521973,-54.961456298828125,-0.0729846466636859,2.0705111026763916
1,"(50, 100]",6205,1.7349607835894336,1.5006543397903442,3.5805370807647705,-1.0526866912841797,0.3192035530277579,0.7279012799263
1,"(100, 150]",9555,1.2728743448833604,1.0024127960205078,2.5300533771514893,-0.15562188625335693,0.3829026183197615,0.7533705234527588
1,"(150, 200]",4792,1.4795190991261165,1.1826597452163696,3.0880579948425293,-1.098634958267212,0.33999895891866305,0.901760995388031
1,"(200, 300]",393,1.1698461645016593,0.9619297385215759,2.486980676651001,-1.5901923179626465,0.09701868332507334,1.0026464462280273
2,"(0, 50]",2418,2.748736698245086,2.538217544555664,5.7444682121276855,-12.444987297058105,-0.18420721846184285,0.9354249835014343
2,"(50, 100]",4817,1.582101777941799,1.3610621690750122,3.2404768466949463,-0.7449260950088501,0.4526531215764126,0.805587887763977
2,"(100, 150]",9679,1.3027506631407717,1.0077216625213623,2.448033571243286,-0.06984388828277588,0.34034017229918395,0.702508270740509
2,"(150, 200]",5434,1.807623254733875,1.21651291847229,3.261183977127075,-0.1506495475769043,0.4105861251331386,0.5137588381767273
2,"(200, 300]",242,2.2260368931430112,2.0275135040283203,5.393980503082275,-1.7090392112731934,0.31741712428959934,0.4619222581386566
3,"(0, 50]",2313,2.1022029312132227,1.9483038187026978,4.545054912567139,-9.678447723388672,0.3434827474350006,1.3103702068328857
3,"(50, 100]",3246,1.6367122677330987,1.375814437866211,3.285130500793457,-3.2030372619628906,0.22193026860925022,1.6628293991088867
3,"(100, 150]",9659,1.0887781765398086,0.8867691159248352,2.2147762775421143,-0.8778836727142334,0.2275185521514024,1.013746738433838
3,"(150, 200]",5616,2.2932878366474383,1.9611642360687256,5.209692478179932,-2.2958433628082275,0.37877713539419366,0.7092097401618958
3,"(200, 300]",1293,2.5924295948146874,2.465916872024536,6.633584022521973,-13.418600082397461,0.14458897409005914,0.7721602916717529
4,"(0, 50]",3554,2.1527443736229537,2.0469698905944824,4.742338180541992,-9.630996704101562,0.2173899237974516,0.7512416839599609
4,"(50, 100]",4206,1.3958374659159203,1.1854667663574219,2.8538198471069336,-0.20244848728179932,0.5457251527166297,0.6043404340744019
4,"(100, 150]",7424,1.1490459776461568,0.882885754108429,2.22087025642395,-0.12044453620910645,0.28501724637618325,0.6269124746322632
4,"(150, 200]",6002,2.1639465962023694,1.879441499710083,4.999392509460449,-1.6525394916534424,0.541568991993172,0.5908839702606201
4,"(200, 300]",1007,1.8802373219912074,1.6705843210220337,4.388607501983643,-3.161792278289795,0.2788425026127751,0.7530151605606079
